Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7930073,46.8364015","24.7102105,46.6283024",6 AM,32.3 km,35.0,50.5
"24.7930073,46.8364015","24.7102105,46.6283024",6 PM,27.8 km,26.0,27.666666666666668
"24.7930073,46.8364015","24.7102105,46.6283024",6 PM,32.3 km,35.0,37.0
"24.7930073,46.8364015","24.7102105,46.6283024",7 AM,29.6 km,33.0,53.0
"24.7930073,46.8364015","24.7102105,46.6283024",7 AM,29.7 km,39.0,49.0
"24.7930073,46.8364015","24.7102105,46.6283024",7 AM,30.0 km,36.0,48.0
"24.7930073,46.8364015","24.7102105,46.6283024",7 AM,32.2 km,35.0,55.0
"24.7930073,46.8364015","24.7102105,46.6283024",7 AM,33.1 km,38.0,56.0
"24.7930073,46.8364015","24.7102105,46.6283024",7 PM,27.8 km,26.0,29.5
"24.7930073,46.8364015","24.7102105,46.6283024",8 AM,27.8 km,26.0,55.0
"24.7930073,46.8364015","24.7102105,46.6283024",8 AM,28.9 km,30.75,46.75
"24.7930073,46.8364015","24.7102105,46.6283024",8 AM,32.2 km,35.0,52.0
"24.7930073,46.8364015","24.7102105,46.6283024",9 AM,27.8 km,28.0,42.75
"24.7930073,46.8364015","24.7102105,46.6283024",9 AM,28.9 km,30.0,44.0
"24.7930073,46.8364015","24.7102105,46.6283024",9 AM,32.3 km,35.0,50.0
"24.8296182,46.616385","24.5601699,46.7762684",1 PM,47.1 km,62.0,69.0
"24.8296182,46.616385","24.5601699,46.7762684",1 PM,53.7 km,58.2,63.6
"24.8296182,46.616385","24.5601699,46.7762684",10 AM,53.7 km,58.0,57.5
"24.8296182,46.616385","24.5601699,46.7762684",2 PM,46.7 km,54.0,72.5
"24.8296182,46.616385","24.5601699,46.7762684",2 PM,62.5 km,60.0,69.0
"24.8296182,46.616385","24.5601699,46.7762684",2 PM,66.3 km,62.0,74.0
"24.8296182,46.616385","24.5601699,46.7762684",3 PM,47.1 km,62.0,85.0
"24.8296182,46.616385","24.5601699,46.7762684",3 PM,55.9 km,61.0,68.0
"24.8296182,46.616385","24.5601699,46.7762684",3 PM,56.2 km,57.5,79.0
"24.8296182,46.616385","24.5601699,46.7762684",4 PM,47.1 km,62.0,90.0
"24.8296182,46.616385","24.5601699,46.7762684",4 PM,53.7 km,58.0,92.0
"24.8296182,46.616385","24.5601699,46.7762684",4 PM,60.0 km,62.0,86.0
"24.8296182,46.616385","24.5601699,46.7762684",4 PM,62.4 km,59.0,100.0
"24.8296182,46.616385","24.5601699,46.7762684",5 PM,47.1 km,62.0,91.0
"24.8296182,46.616385","24.5601699,46.7762684",5 PM,53.7 km,58.0,93.0
"24.8296182,46.616385","24.5601699,46.7762684",5 PM,56.2 km,57.333333333333336,94.66666666666667
"24.8296182,46.616385","24.5601699,46.7762684",5 PM,60.0 km,61.0,86.5
